"row","keep_venue_id","keep_venue_name","city_slug","keep_venue_status","legacy_michelin_category","keep_other_awards","twin_venue_id","twin_name_michelin","twin_2026_category","twin_created_by_france_batch","type","confidence","reason","decision"
"12","ve_50192b88c3","Logis Hôtel la Chatellenie","availles-limouzine","active","Bib Gourmand","0","ve_1c07c73eab","La Chatellenie","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"13","ve_a453cac427","Restaurant l'épine Azay-le-Rideau","azay-le-rideau","active","Bib Gourmand","0","ve_7c232f585b","L'Épine","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"14","ve_0b0fddb5b0","Le Manoir du Lys, The Originals Relais","bagnoles-de-lorne","active","One Star","0","ve_85c4f6843f","Le Manoir du Lys","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"15","ve_2029f8e065","Restaurant Epona à Baix - Ardèche","baix","active","Bib Gourmand","0","ve_8bc1591959","Epona","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"16","ve_91143eac6a","Restaurant Les Oliviers - 1* au Guide Michelin","bandol","active","One Star","0","ve_f544fa7119","Les Oliviers","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"17","ve_7b1c4fa3a5","Hôtel restaurant du Vieux Pont","belcastel","active","One Star","0","ve_62018d91c0","Vieux Pont","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"18","ve_7d24cfdc87","La Grange de Belle Église • Restaurant Étoilé","belle-eglise","active","One Star","0","ve_0db65739c0","La Grange de Belle-Église","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"19","ve_6d4b571c98","Restaurant Koenig à l’Arbre Vert","berrwiller","active","Bib Gourmand","0","ve_bf352db59d","L'Arbre Vert","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"20","ve_d0847daad2","Léonie : Restaurant traditionnel à Biarritz","biarritz","active","Bib Gourmand","0","ve_5d45bba949","Léonie","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"21","ve_1462089111","Auberge Ostape","bidarray","active","One Star","0","ve_639a7b2bc2","Lore Ttipia - Auberge Ostape","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"22","ve_ceec9ba426","Les Frères Ibarboure - Table et Hôtel","bidart","active","One Star","0","ve_5ebc491f42","Les Frères Ibarboure","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"23","ve_c1747183e5","Chateaux et Hotels Collection - Le Mascaret","blainville-sur-mer","active","One Star","0","ve_85259905e9","Le Mascaret","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"24","ve_da85740849","Restaurant LALIQUE @ Château Lafaurie Peyraguey","bommes","active","Two Stars","1","ve_c96836b1c4","Lalique","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"25","ve_9369cd8351","Finestra","bonifacio","active","One Star","0","ve_227e8a30ec","Finestra by Italo Bassi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"26","ve_7723d4bc53","L'Etang du Moulin - Hôtel Restaurant SPA -","bonnetage","active","One Star","0","ve_462397efb6","L'Étang du Moulin","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"27","ve_2410f5b67e","Mets Mots - Restaurant - Bar à vins","bordeaux","active","Bib Gourmand","0","ve_4faf08e515","Mets Mots","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"28","ve_7828910915","PANAILLE - Bordeaux","bordeaux","active","Bib Gourmand","0","ve_dc7979e080","Panaille","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"29","ve_8234491228","Racines","bordeaux","active","Bib Gourmand","0","ve_bc0b93afad","Racines by Daniel Gallacher","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"30","ve_61eaa343bd","TentaziOni Bordeaux","bordeaux","active","One Star","0","ve_55ec509f11","Tentazioni","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"31","ve_9ebd7adccf","Baca'v Boulogne par Emile Cotte","boulogne-billancourt","active","Bib Gourmand","0","ve_ebd22d2f9f","Baca'v - Boulogne","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"32","ve_7e6c2c408f","Ribaudière (La)","bourg-charente","active","One Star","0","ve_8f2886ad43","La Ribaudière","One Star","yes","merge","high","same name, article moved to the end in the old name","merge"
"33","ve_8b7a5c4bbc","Restaurant J.M Perochon","bretignolles-sur-mer","active","One Star","0","ve_a69a8c4631","Jean-Marc Pérochon","One Star","yes","merge","high","J.M Perochon = Jean-Marc Pérochon; only same-city candidate","merge"
"34","ve_8f57474bcb","La Fenière","cadenet","active","One Star","0","ve_f3c2c47766","Le Goût du Bonheur - La Fenière","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"35","ve_30c62ebaf4","L'Ô à la Bouche Cahors","cahors","active","Bib Gourmand","0","ve_7f0158e663","L'Ô à la Bouche","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"36","ve_23317e8d00","Hôtel et Restaurant La Bastide Bourrelly - Mathias Dandine","calas-cabries","active","One Star","0","ve_658c923ff7","La Bastide Bourrelly - Mathias Dandine","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"37","ve_b1b75b05b2","Crêperie Breizh Café Cancale","cancale","active","Bib Gourmand","0","ve_06be0c1b69","Breizh Café Cancale","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"38","ve_b79abf6ec2","La Table Breizh Café (Restaurant Japonais étoilé)","cancale","active","One Star","0","ve_52b78fb850","La Table Breizh Café","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"39","ve_2a18117e96","Restaurant Gastronomique L'Oursin","carry-le-rouet","active","One Star","0","ve_ef058dd0af","L'Oursin","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"40","ve_8b272c08ce","Bistrot des Saveurs","castres","active","Bib Gourmand","0","ve_4a1145bc38","Bistrot Saveurs","Bib Gourmand","yes","merge","high","Bistrot des Saveurs = Bistrot Saveurs; only same-city candidate","merge"
"41","ve_45bf2a4926","Domaine LE VERBOIS","chantilly","active","One Star","0","ve_a12c5b1fb7","Le Verbois","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"42","ve_2df65b448c","Le Carré d'Alethius | Logis Hôtel Restaurant Gastronomique Valence","charmes-sur-rhone","active","One Star","0","ve_d914084fdd","Le Carré d'Alethius","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"43","ve_6e7aed280b","Les Nymphéas Restaurant du Domaine de Gorneton","chasse-sur-rhone","active","Bib Gourmand","0","ve_d1d6794135","Les Nymphéas","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"44","ve_da96217030","Relais & Châteaux Serge Vieira","chaudes-aigues","active","Two Stars","1","ve_498900171c","Serge Vieira","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"45","ve_fdb27e8cae","Logis Hôtel le Château Blanchard","chazelles-sur-lyon","active","One Star","0","ve_1d17c69786","Château Blanchard","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"46","ve_8152b2fae5","Restaurant Le Favori - Les Sources de Cheverny","cheverny","active","One Star","0","ve_7133cdc8e6","Le Favori - Les Sources de Cheverny","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"47","ve_c4d70b9a92","Maison Patte Noire ""1 lieu, 2 restaurants""","cholet","active","Bib Gourmand","0","ve_17d83ed8dd","La P'tite Patte","Bib Gourmand","yes","merge","medium","Michelin page: La P'tite Patte is the ground-floor bistro of the Patte Noire house, Bib Gourmand (guide.michelin.com/kr/en/pays-de-la-loire/cholet/restaurant/la-p%E2%80%99tite-patte). Old name is the house, not the bistro. Checked Sep 15: recommend merge","merge"
"48","ve_27785657a0","Le Cottage de Clairefontaine","chonas-lamballan","active","Bib Gourmand","0","ve_e7c87d0adf","Le Cottage","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"49","ve_8d6ad4c71f","JCL Restaurant Jean Claude Leclerc","clermont-ferrand","active","One Star","0","ve_a8d013d6f8","Jean-Claude Leclerc","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"50","ve_980b27209b","Hostellerie d'Héloise Logis","cluny","active","Bib Gourmand","0","ve_17e3795c53","Hostellerie d'Héloïse","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"51","ve_c0ccaa867a","Notes, restaurant gastronomique","cognac","active","One Star","0","ve_f04af7bc98","Notes","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"52","ve_634228e9d5","Restaurant Girardin - 1 étoile Michelin","colmar","active","One Star","0","ve_b4aba26cad","Restaurant Girardin","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"53","ve_a0b7949ab3","La Mécanique des Frères Bonano","colombieres-sur-orb","active","One Star","0","ve_c9f9cfcb15","Granit - La Mécanique des Frères Bonano","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"54","ve_5cc5d7608c","CHENEAUDIÈRE - Hôtel Spa - Relais & Châteaux","colroy-la-roche","active","One Star","0","ve_c7315c4c57","La Cheneaudière - Le Feuillage","One Star","yes","merge","high","Cheneaudière hotel; Le Feuillage is its starred restaurant","merge"
"55","ve_87787c0053","Logis Hôtel le Balcon","combeaufontaine","active","Bib Gourmand","0","ve_05e4608b30","Le Balcon","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"56","ve_2fb8e6021d","Moulin de Cambelong- Emilie et Thomas","conques-en-rouergue","active","One Star","0","ve_0de37ec32e","Émilie & Thomas - Moulin de Cambelong","One Star","yes","merge","high","same two parts in reverse order","merge"
"57","ve_4dc1e77833","Asterales Restaurant","correncon-en-vercors","active","One Star","0","ve_901edaf0f3","Asterales","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"58","ve_937fd0194b","Logis Hôtel Auberge le Centre - Poitou","coulombiers","active","Bib Gourmand","0","ve_dad613f8db","Auberge Le Centre Poitou","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"59","ve_70045fa97a","Château de Courban & Spa Nuxe - Château Hôtel en Bourgogne","courban","active","One Star","0","ve_f2d0cb884d","Château de Courban","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"60","ve_1dd2e9c45c","Château de Courcelles","courcelles-sur-vesle","active","One Star","0","ve_8ff9bd1676","La Table de Courcelles - Château de Courcelles","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"61","ve_8667acbfef","Le Chabichou - Hôtel & Spa","courchevel","active","One Star","2","ve_ad205f1354","Le Chabichou by Stéphane Buron","One Star","yes","merge","high","Le Chabichou hotel and restaurant; example in the Fable ruling","merge"
"62","ve_48365740d9","Le Sylvestre","courchevel","active","Two Stars","1","ve_717fb622b1","Sylvestre Wahid - Les Grandes Alpes","Two Stars","yes","merge","medium","Le Sylvestre = Sylvestre Wahid at Les Grandes Alpes; name shares only the word Sylvestre; two Two Stars candidates in Courchevel. Checked Sep 15: old venue also holds La Liste 2026, so it stays as the survivor. Checked Sep 15: recommend merge","merge"
"63","ve_d846ebd663","Auberge U Licettu","cuttoli","active","Bib Gourmand","0","ve_57520fbced","U Licettu","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"64","ve_b052a675b6","Le Pot d'Etain Sarl","danjoutin","active","One Star","0","ve_8e9d6aca0b","Le Pot d'Étain","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"65","ve_ef25cbc6cd","CIBO restaurant gastronomique à Dijon","dijon","active","One Star","1","ve_33ade9911a","CIBO","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"66","ve_15f476d193","L'Aspérule DIJON","dijon","active","One Star","0","ve_baeb6ddc61","L'Aspérule","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"67","ve_dd0d470b28","Restaurant Dijon L'évidence","dijon","active","Bib Gourmand","0","ve_d88b8700f0","L'Évidence","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"68","ve_aa3cd721a5","SPICA Restaurant Bistronomique","dijon","active","Bib Gourmand","0","ve_9f3130295d","Spica","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"69","ve_18aa1ae78d","Restaurant Pourquoi Pas Dinard","dinard","active","One Star","0","ve_35e647c8b7","Pourquoi Pas","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"70","ve_89c014afb7","RENÉE Restaurant","dunkirk","active","Bib Gourmand","0","ve_845b42f8ff","Renée","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"71","ve_273d8e1a92","L'Orchidee - Hôtel Restaurant gastronomique Ensisheim","ensisheim","active","One Star","0","ve_38b570073d","L'Orchidée","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"72","ve_2a3f16fb34","Choko Ona Espelette","espelette","active","One Star","0","ve_badee09ed6","Choko Ona","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"73","ve_8d3531f731","Les Prés d'Eugénie - Relais & Châteaux","eugenie-les-bains","active","Three Stars","2","ve_d86ea5a112","Les Prés d'Eugénie - Michel Guérard","Three Stars","yes","merge","high","Les Prés d'Eugénie, Three Stars both sides; only candidate","merge"
"74","ve_3d116f3aaa","Restaurant Le Muratore ""Bistrot culinaire""","evian-les-bains","active","Bib Gourmand","0","ve_104670f2a0","Le Muratore","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"75","ve_e3d1c59155","Hôtel Château de La Chèvre d’Or","eze","active","Two Stars","2","ve_e1ed43edfb","La Chèvre d'Or","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"76","ve_66c5011f54","La Clé des Champs Favières","favieres","active","Bib Gourmand","0","ve_a485b99ef2","La Clé des Champs","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"77","ve_40293b76ff","L'Axel Restaurant","fontainebleau","active","One Star","0","ve_7690224530","L'Axel","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"78","ve_76a2262e75","Hôtel Restaurant & Spa Julien","fouday","active","Bib Gourmand","0","ve_0a19b1d60f","Julien","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"79","ve_68ebaf7fa5","Avarum | Restaurant Gastronomique Blois - Fougères-sur-Bièvre","fougeres-sur-bievre","active","Bib Gourmand","0","ve_e9d3da211d","Avarum","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"80","ve_93f70f8cea","Domaine les Bruyères / Ruche, le Restaurant","gambais","active","One Star","0","ve_9b254dc074","Ruche","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"81","ve_21f1556ce9","Restaurant Alexandre/Michel Kayser","garons","active","Two Stars","1","ve_7484f85f6c","Michel Kayser - Restaurant Alexandre","Two Stars","yes","merge","high","same two parts in reverse order","merge"
"82","ve_fa54992eff","Hôtel Restaurant & Spa La Magdeleine - Mathias Dandine","gemenos","active","One Star","0","ve_3c4cad0cd7","La Magdeleine - Mathias Dandine","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"83","ve_1f121d0835","Bistro Lucien","gevrey-chambertin","active","Bib Gourmand","0","ve_e90d28d7f1","Bistrot Lucien","Bib Gourmand","yes","merge","high","Bistro/Bistrot Lucien","merge"
"84","ve_6a8fd785e4","L'Oustalet - Gigondas, Restaurant étoilé et Chambres d'hôtes","gigondas","active","One Star","0","ve_e5d90efd1c","L'Oustalet","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"85","ve_4a0678f5c7","La Maison Bonnet","grane","active","Bib Gourmand","0","ve_eda4bfb1ca","Len'K - La Maison Bonnet","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"86","ve_772b095e31","Les Cèdres - Bertrand Frères","granges-les-beaumont","active","One Star","0","ve_4ea2e5317e","Les Cèdres","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"87","ve_7b1c963f2f","Le Clair De Plume","grignan","active","One Star","0","ve_7dfc2fd4c0","Le Clair de la Plume","One Star","yes","merge","high","Clair De Plume = Clair de la Plume","merge"
"88","ve_0f75cf565b","Le Gantxo-Isabelle&Laurent Miremont","guiche","active","Bib Gourmand","0","ve_f85d893b1c","Le Gantxo","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"89","ve_965b1e96e4","Auberge De L'Abbaye D'Hambye","hambye","active","Bib Gourmand","0","ve_6b71904f51","Auberge de l'Abbaye","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"90","ve_429b4eb60e","Auberge Mont Blanc","hauteluce","active","One Star","0","ve_f47ae97c9d","Mont Blanc Restaurant & Goûter","One Star","yes","merge","high","Michelin page: a century-old inn in Hauteluce (guide.michelin.com/lu/fr/auvergne-rhone-alpes/hauteluce/restaurant/mont-blanc-restaurant-gouter); only candidate","merge"
"91","ve_984b9e5ab1","L'Eden D'Houlgate","houlgate","active","Bib Gourmand","0","ve_eef35efadd","L'Éden","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"92","ve_d9fbad3d06","ART'ZAIN Restaurant","irissarry","active","Bib Gourmand","0","ve_cc5a9434c6","Art'zain","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"93","ve_0eb3af1481","La Côte Saint Jacques & Spa","joigny","active","Two Stars","1","ve_9b6d110137","La Côte Saint-Jacques","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"94","ve_ee898a4ee3","Hotel Belles Rives","juan-les-pins","active","One Star","0","ve_19a1c230ed","La Passagère - Hôtel Belles Rives","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"95","ve_b4cee2dc61","La Winstub Du Chambard · Olivier Nasti","kaysersberg","active","Bib Gourmand","0","ve_5ab4aa0bc5","Winstub du Chambard","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"96","ve_e387043c8f","Restaurant La Vieille Forge Colmar Kaysersberg","kaysersberg","active","Bib Gourmand","0","ve_5dace7ecfd","La Vieille Forge","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"97","ve_0b7ea4814f","Restaurant L'Inattendu - Domaine de Locguénolé","kervignac","active","One Star","0","ve_0271655e90","L'Inattendu - Domaine de Locguénolé","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"98","ve_d1cccaafdf","Château de Valmer","la-croix-valmer","active","One Star","0","ve_9f9096f916","La Palmeraie - Château de Valmer","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"99","ve_9e16ffbc0c","Restaurant Le Dauphin","la-ferte-bernard","active","Bib Gourmand","0","ve_37c7b7913d","Restaurant du Dauphin","Bib Gourmand","yes","merge","high","Le Dauphin = du Dauphin; only candidate","merge"
"100","ve_244a886a56","Hôtel Restaurant Anne de Bretagne | Mathieu Guibert","la-plaine-sur-mer","active","Two Stars","1","ve_af4dc28acc","Anne de Bretagne","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"101","ve_75913135f6","Restaurant Frankenbourg","la-vancelle","active","One Star","0","ve_3e923051b8","Auberge Frankenbourg","One Star","yes","merge","high","Restaurant/Auberge Frankenbourg; only candidate","merge"
"102","ve_af04d11e71","Le Jardin Secret [Gilles LEININGER] Restaurant gastronomique - Strasbourg La Wantzenau","la-wantzenau","active","One Star","0","ve_e0139f93a9","Le Jardin Secret","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"103","ve_7735b36541","Hôtel Restaurant SPA La Rochette Logis","labaroche","active","Bib Gourmand","0","ve_01fb045ac5","La Rochette","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"104","ve_62593f532b","Maison Bras","laguiole","active","One Star","11","ve_96cb98a9cb","Le Suquet - Sébastien Bras","One Star","yes","merge","medium","Maison Bras is the house; Le Suquet is its restaurant. Old venue holds 11 other awards, so it must survive. Checked Sep 15: old venue holds La Liste 2026 and ten W50B rows, so it stays as the survivor. Checked Sep 15: recommend merge","merge"
"105","ve_9519988e02","Bulle d'Osier** - restaurant gastronomique 2 Etoiles Michelin","langres","active","Two Stars","0","ve_2f02c11729","Bulle d'Osier","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"106","ve_a525c8fbc3","Logis Hôtel Etchemaïté","larrau","active","Bib Gourmand","0","ve_67c140d781","Etchemaite","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"107","ve_412056e4a1","Restaurant Lamartine Lac du Bourget, Proche Aix-les-Bains","le-bourget-du-lac","active","One Star","0","ve_b522cd3fe4","Lamartine","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"108","ve_8a4f12a1a4","Le Bistrot Des Anges - Bastide Bruno Oger","le-cannet","active","Bib Gourmand","0","ve_7eb9ed9fbe","Bistrot des Anges","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"109","ve_bc9741b0a7","Villa Archange - Bastide Bruno Oger","le-cannet","active","Two Stars","1","ve_fefe169e3f","La Villa Archange","Two Stars","yes","merge","high","Villa Archange; only candidate","merge"
"110","ve_9be720211b","Restaurant la Promenade (Maison Dallais)","le-petit-pressigny","active","One Star","0","ve_ddc676eae9","La Promenade - Maison Dallais","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"111","ve_1cd1d3e54d","Restaurant L'Orangerie du Château de Fonscolombe","le-puy-sainte-reparade","active","One Star","0","ve_7de9c388b5","La Table de l'Orangerie - Château de Fonscolombe","One Star","yes","merge","high","Orangerie at Château de Fonscolombe","merge"
"112","ve_511eebf1d8","Hôtel Doussière - Restaurant l'Alicanta","le-rozier","active","Bib Gourmand","0","ve_52cbdbceef","L'Alicanta","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"113","ve_5afd04ec26","Restaurant l'Aupiho - Domaine de Manville","les-baux-de-provence","active","One Star","0","ve_18c21a728c","L'Aupiho - Domaine de Manville","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"114","ve_99b6cf11d7","Behind The Scenes","les-herbiers","active","Bib Gourmand","0","ve_3192051f0a","L'Envers du Décor","Bib Gourmand","yes","merge","medium","old name is the English translation of L'Envers du Décor; only same-city Bib. Checked Sep 15: recommend merge","merge"
"115","ve_337c427931","Restaurant Colette (Domaine de la Plagnette)","les-salles","active","Bib Gourmand","0","ve_8ed4c03790","Colette - Domaine de la Plagnette","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"116","ve_6cdf0b4d41","Restaurant L'Epicurien - Abbaye de Villeneuve","les-sorinieres","active","One Star","0","ve_9b7cb4f253","Le 1201 - Abbaye de Villeneuve","One Star","yes","merge","high","Michelin page: Le 1201 is the fine-dining restaurant of the Abbaye de Villeneuve hotel (guide.michelin.com/fr/fr/pays-de-la-loire/les-sorinieres/restaurant/le-1201-abbaye-de-villeneuve); L'Epicurien is an older name","merge"
"117","ve_d20477fc5d","Le Vivier Restaurant","lisle-sur-la-sorgue","active","One Star","0","ve_a012f5984b","Le Vivier","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"118","ve_8e5c7e3a08","Chez Bruno","lorgues","active","One Star","0","ve_079fdd67dd","Bruno","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"119","ve_7e7e309472","Restaurant Le Prince Noir par Vivien Durand","lormont","active","One Star","0","ve_5e7a9dc5e7","Le Prince Noir - Vivien Durand","One Star","yes","merge","high","Le Prince Noir, Vivien Durand","merge"
"120","ve_632293d6ee","Hotel A Casa Di Mà Lumio Calvi","lumio","active","One Star","0","ve_d2a1b30b66","A Casa di Mà","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"121","ve_0d2f57151c","Agastache Restaurant","lyon","active","Bib Gourmand","0","ve_f8543180d0","Agastache","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"122","ve_0532e92a7d","Danton... Restaurant","lyon","active","Bib Gourmand","0","ve_3faa32426f","Danton","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"123","ve_bd43aa404b","La Meuniere.Bouchon Lyonnais","lyon","active","Bib Gourmand","0","ve_8d9988540d","La Meunière","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"124","ve_1b8b3584fa","La Virée Bistrot","lyon","active","Bib Gourmand","0","ve_8db240d5eb","La Virée","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"125","ve_0660358e08","Prairial – Restaurant gastronomique étoilé Michelin à Lyon","lyon","active","One Star","0","ve_d0386cbcf1","Prairial","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
