"row","keep_venue_id","keep_venue_name","city_slug","keep_venue_status","legacy_michelin_category","keep_other_awards","twin_venue_id","twin_name_michelin","twin_city_slug","twin_2026_category","twin_created_by_italy_batch","type","confidence","reason","decision"
"13","ve_1924d58f83","Osteria dei Segreti Spa Resort","appignano","active","Bib Gourmand","0","ve_12f75a1b84","Osteria dei Segreti","appignano","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"14","ve_488b989290","Zash Ristorante","archi","active","One Star","0","ve_538939ca42","Zash","archi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"15","ve_6caf1bd7a5","Ristorante L'800 Argelato Bologna","argelato","active","Bib Gourmand","0","ve_5d58186dc5","L'800","argelato","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"16","ve_22e8021e76","Sintesi Ristorante","ariccia","active","One Star","0","ve_b0afa03932","Sintesi","ariccia","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"17","ve_58a8206e20","Condividere bistrot","arona","active","Bib Gourmand","0","ve_c09921a88c","Condividere","arona","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"18","ve_0368dd0aba","CARACOL - Bacoli","bacoli","active","One Star","1","ve_8fa3270e6d","Caracol","bacoli","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"19","ve_3e76b0d969","Ristorante Porcino","badia","active","One Star","0","ve_a1a29f0a3b","Porcino","badia","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"20","ve_cf454ca5af","Limu restaurant","bagheria","active","One Star","0","ve_068994716a","Līmū","bagheria","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"21","ve_3aa7aae384","Ristorante Trattoria da Probo","bagnolo-in-piano","active","Bib Gourmand","0","ve_e52eea3a39","Trattoria da Probo","bagnolo-in-piano","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"22","ve_e9aea37687","Capogiro Restaurant","baia-sardinia","active","One Star","0","ve_003e879c86","Capogiro","baia-sardinia","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"23","ve_f1924a863c","Altavilla Locanda e tipica Trattoria","bianzone","active","Bib Gourmand","0","ve_ac9e56bd72","Altavilla","bianzone","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"24","ve_a848f0b0c2","Ristorante Enoteca San Nicola","bobbio","active","Bib Gourmand","0","ve_cfcfc33ff1","Enoteca San Nicola","bobbio","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"25","ve_fd70c806da","Ristorante Al Cambio","bologna","active","Bib Gourmand","1","ve_c39f65ff21","Al Cambio","bologna","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"26","ve_a9fa0b5f4a","Wirtshaus Vögele","bolzano","active","Bib Gourmand","0","ve_9dc30edacd","Vögele","bolzano","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"27","ve_9e9310b9d5","Ristorante Storie D'Amore","borgoricco","active","One Star","0","ve_69d51bf1fc","Storie d'Amore","borgoricco","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"28","ve_ec136658e4","Ristorante Battaglino dal 1919","bra","active","Bib Gourmand","0","ve_4835b009bc","Battaglino","bra","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"29","ve_af8bbdb335","Ristorante NIN","brenzone-sul-garda","active","One Star","1","ve_3818ead299","Nin","brenzone-sul-garda","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"30","ve_a100c8115d","G.a.Porteri","brescia","active","Bib Gourmand","0","ve_727bd5f9f8","Trattoria Porteri","brescia","Bib Gourmand","yes","merge","high","Porteri; only candidate","merge"
"31","ve_8431dd633d","Laghetto Alpine Hotel & Restaurant","brusson","active","Bib Gourmand","0","ve_1c6b07f65d","Laghetto","brusson","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"32","ve_8373a59075","Ristorante La Gioconda","cagli","active","Bib Gourmand","0","ve_d3f2ceb7f1","La Gioconda","cagli","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"33","ve_d57035e515","Old Friend Cagliari","cagliari","active","Bib Gourmand","0","ve_2257537765","Old Friend","cagliari","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"34","ve_e0a79df3f4","Ristorante Violetta","calamandrana","active","Bib Gourmand","0","ve_cb05f5cd40","Violetta","calamandrana","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"35","ve_4e583e2c3e","Trattoria Molin Vecio","caldogno","active","Bib Gourmand","0","ve_50a9eef90e","Molin Vecio","caldogno","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"36","ve_960c3077af","Locanda Mariella Ristorante","calestano","active","Bib Gourmand","0","ve_721bb5c35c","Locanda Mariella","calestano","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"37","ve_4ed9a5dda8","Via Magnagallo Est","campogalliano","active","Bib Gourmand","0","ve_b8765fd91c","Magnagallo","campogalliano","Bib Gourmand","yes","merge","medium","old name is a street address",""
"38","ve_54c1cc620e","Ristorante ""All'Enoteca""","canale","active","One Star","1","ve_c48f5ae3b2","All'Enoteca","canale","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"39","ve_6b2fd30eea","Ristorante Dal Pescatore Santini","canneto-sulloglio","active","Three Stars","9","ve_d10be85fe0","Dal Pescatore Santini","canneto-sulloglio","Three Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"40","ve_0dd410c41a","Ristorante UNE","capodacqua","active","One Star","0","ve_328d4c3636","Une","capodacqua","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"41","ve_f457393f4f","Ristorante - Hotel - Sala Ricevimenti ""Antica Filanda""","capri-leone","active","Bib Gourmand","0","ve_f5e2259beb","Antica Filanda","capri-leone","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"42","ve_33db2b79cb","Albergo Mingone","carnello","active","Bib Gourmand","0","ve_592a0dd388","Mingone","carnello","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"43","ve_6170a2ff5e","Dissapore Ristorante di Andrea Catalano","carovigno","active","One Star","0","ve_30d3ed0320","Dissapore di Andrea Catalano","carovigno","One Star","yes","merge","high","Dissapore, Andrea Catalano","merge"
"44","ve_fd381761f8","Trattoria Vascello d'Oro con camere","carru","active","Bib Gourmand","0","ve_e02ff6ed99","Vascello d'Oro","carru","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"45","ve_7768e80af3","Ristorante Cacciatori di Milano Massimo","cartosio","active","Bib Gourmand","0","ve_e53e5c069b","Cacciatori","cartosio","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"46","ve_eb90f4645b","Stella Ristorante Vineria e Locanda","casaglia","active","Bib Gourmand","0","ve_9ab08aef56","Stella","casaglia","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"47","ve_3bb7d0e719","Laqua Vineyard","casanova-di-terricciola","active","One Star","0","ve_4814393604","Cannavacciuolo Vineyard","casanova-di-terricciola","One Star","yes","merge","medium","Laqua Vineyard now carries the Cannavacciuolo name; only candidate",""
"48","ve_a4c824e918","Ristorante Reale","castel-di-sangro","active","Three Stars","11","ve_4cd1c6b52d","Reale","castel-di-sangro","Three Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"49","ve_247dbc6150","Agostino Iacobucci","castel-maggiore","active","One Star","1","ve_41ac43bb73","Iacobucci","castel-maggiore","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"50","ve_38e919293b","Palazzaccio Ristorante","castelbuono","active","Bib Gourmand","0","ve_bf9b47dd0b","Palazzaccio","castelbuono","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"51","ve_ece2c35281","Ristorante Nangalarruni","castelbuono","active","Bib Gourmand","0","ve_e9e60657cf","Nangalarruni","castelbuono","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"52","ve_e82e1eb7aa","Restaurant At the Owl's Beak","castelmezzano","active","Bib Gourmand","0","ve_82868136d8","Al Becco della Civetta","castelmezzano","Bib Gourmand","yes","merge","medium","old name is the English translation of Al Becco della Civetta; only candidate",""
"53","ve_ab30389c9a","L'Asinello Ristorante","castelnuovo-berardenga","active","One Star","0","ve_93a04fe425","L'Asinello","castelnuovo-berardenga","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"54","ve_71314c6097","Ristorante L'Acquario","castiglione-del-lago","active","Bib Gourmand","0","ve_9ce620c2cf","L'Acquario","castiglione-del-lago","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"55","ve_fefe2728a6","Osteria del Mare già Vòtapentole","castiglione-della-pescaia","active","Bib Gourmand","0","ve_6c925ea7b2","Osteria del Mare già il ""Votapentole""","castiglione-della-pescaia","Bib Gourmand","yes","merge","high","Osteria del Mare già Votapentole","merge"
"56","ve_73a2c9101d","Ristorante Coria","catania","active","One Star","0","ve_721d5c8d25","Coria","catania","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"57","ve_b8430e36c3","Oseleta Restaurant","cavaion-veronese","active","One Star","0","ve_24ee4dbae5","Oseleta","cavaion-veronese","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"58","ve_3ed52727c2","Ristorante El Molin","cavalese","active","One Star","1","ve_0c2b6ab83d","El Molin","cavalese","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"59","ve_17806afc9f","Ristorante Da Fausto","cavatore","active","Bib Gourmand","0","ve_6a30df3b91","Da Fausto","cavatore","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"60","ve_81d1930a13","Ristorante Il Saraceno","cavernago","active","One Star","0","ve_d371719674","Il Saraceno","cavernago","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"61","ve_3e37bfb476","Trattoria Raieü","cavi-di-lavagna","active","Bib Gourmand","0","ve_b6c34ddd1c","Raieü","cavi-di-lavagna","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"62","ve_27fe47b3ff","Ristorante Materia Cernobbio","cernobbio","active","One Star","4","ve_c4ee21de98","Materia","cernobbio","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"63","ve_d977f455fb","Ancòra Cesenatico","cesenatico","active","One Star","0","ve_3d3a546bfb","Ancòra","cesenatico","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"64","ve_c7f5181cd4","Armatore La Dispensa – Ristorante di Mare | Cetara","cetara","active","Bib Gourmand","0","ve_ff11b31bf9","La Dispensa di Armatore","cetara","Bib Gourmand","yes","merge","high","Armatore, La Dispensa; two Bibs in Cetara, the other is Al Convento","merge"
"65","ve_603528e837","Ristorante Al Convento Cetara","cetara","active","Bib Gourmand","0","ve_31705bfb65","Al Convento - Casa Torrente","cetara","Bib Gourmand","yes","merge","high","Al Convento; two Bibs in Cetara, the other is La Dispensa di Armatore","merge"
"66","ve_6504540317","Saporium Chiusdino","chiusdino","active","One Star","0","ve_85df296a9b","Saporium","chiusdino","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"67","ve_f06f2f4e48","Locanda del Sant’Uffizio Enrico Bartolini","cioccaro-di-penango","active","Two Stars","1","ve_f4e864c4b6","Locanda Sant'Uffizio Enrico Bartolini","cioccaro-di-penango","Two Stars","yes","merge","high","Locanda (del) Sant'Uffizio Enrico Bartolini","merge"
"68","ve_8ee1c34b70","La Bandiera B&B","civitella-casanova","active","One Star","0","ve_9ddcffa00b","La Bandiera","civitella-casanova","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"69","ve_d401e6376c","Ristorante La Zanzara","codigoro","active","One Star","0","ve_5925c4752e","La Zanzara","codigoro","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"70","ve_e13daa5c7c","Le Petit Restaurant c/o Bellevue Hotel & Spa","cogne","active","One Star","0","ve_4eb5d31b82","Le Petit Bellevue","cogne","One Star","yes","merge","high","Le Petit restaurant at the Bellevue hotel","merge"
"71","ve_ec5bb0dfdb","Ristorante Arnolfo | 2 Stelle Michelin","colle-di-val-delsa","active","Two Stars","2","ve_11423aa956","Arnolfo","colle-di-val-delsa","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"72","ve_45b44ca3cc","La Subida Country Resort - Trattoria al Cacciatore","cormons","active","One Star","0","ve_c58f3317b6","Trattoria al Cacciatore - La Subida","cormons","One Star","yes","merge","high","same two parts in reverse order","merge"
"73","ve_5d1beeb7ee","Ristorante Amistà","corrubbio","active","One Star","0","ve_26c2f1fe46","Amistà","corrubbio","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"74","ve_88d96f125c","Gabbiano1983 - Specialità d'oca e grandi vini","corte-de-cortesi","active","Bib Gourmand","0","ve_8e2969acaf","Gabbiano 1983","corte-de-cortesi","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"75","ve_ee457522bf","Ristorante Tivoli Cortina","cortina-dampezzo","closed","One Star","0","ve_c0a91a26c2","Tivoli","cortina-dampezzo","One Star","yes","merge","high","same city and category; Michelin name is inside the old name. FLAG: old venue status is closed, but Michelin 2026 lists it",""
"76","ve_f977a3acfd","La Bucaccia - Da Romano","cortona","active","Bib Gourmand","0","ve_22c16564ee","La Bucaccia","cortona","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"77","ve_1e0c86fb05","Ristorante Equilibrio","dolcedo","active","One Star","0","ve_25ceae9c30","Equilibrio","dolcedo","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"78","ve_a616dd276e","Agriturismo Ronchi Rò","dolegna-del-collio","active","Bib Gourmand","0","ve_358a138a4e","Ronchi Rò","dolegna-del-collio","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"79","ve_20439c7bf2","Ristorante da Sapì","esine","active","Bib Gourmand","0","ve_ab4be64dac","Da Sapì","esine","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"80","ve_8294c26d40","Osteria Ristorante La Baita","faenza","active","Bib Gourmand","0","ve_f568148b65","La Baita","faenza","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"81","ve_cda705bd27","Il Fagiano - Grand Hotel Fasano","fasano-del-garda","active","One Star","0","ve_7a780193f5","Il Fagiano","fasano-del-garda","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"82","ve_251842320d","Ca' d' Frara Trattoria Moderna","ferrara","active","Bib Gourmand","0","ve_d0e6893124","Ca' d'Frara","ferrara","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"83","ve_81bd05e2f3","Ristorante Villa Fiesole","fiesole","active","One Star","0","ve_9a7a4820e5","Serrae Villa Fiesole","fiesole","One Star","yes","merge","high","Villa Fiesole","merge"
"84","ve_cb8a5bfb01","4112 - QuarantunoDodici Ristorante Bar","fiumicino","active","Bib Gourmand","0","ve_fd0d22f8bf","QuarantunoDodici","fiumicino","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"85","ve_4af63ccc53","Ristorante Il Tino","fiumicino","active","One Star","0","ve_5806b0318c","Il Tino","fiumicino","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"86","ve_7fc42a61e1","Borgo San Iacopo","florence","active","One Star","0","ve_06fe5cbaa4","Borgo San Jacopo","florence","One Star","yes","merge","high","Iacopo = Jacopo","merge"
"87","ve_77f190505b","Cibrèo Trattoria","florence","active","Bib Gourmand","0","ve_f7c8ef7bf0","Trattoria Cibrèo - Il Cibrèino","florence","Bib Gourmand","yes","merge","high","Trattoria Cibrèo","merge"
"88","ve_9a2facfe30","Gucci Osteria","florence","active","One Star","3","ve_37523466e7","Gucci Osteria da Massimo Bottura","florence","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"89","ve_e1339c5391","Ristorante Santa Elisabetta","florence","active","Two Stars","1","ve_5263416672","Santa Elisabetta","florence","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"90","ve_0a0ea1b7c9","Ristorante Trattoria da Burde","florence","active","Bib Gourmand","0","ve_3faf2fe366","Da Burde","florence","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"91","ve_e7baad3a51","Ristorante La Magnolia","forte-dei-marmi","active","One Star","0","ve_3194b2de28","La Magnolia","forte-dei-marmi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"92","ve_a58b5833fa","Ristorante Lorenzo","forte-dei-marmi","active","One Star","1","ve_0ffda6106c","Lorenzo","forte-dei-marmi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"93","ve_10c01a7f1d","Ristorante Lux Lucis","forte-dei-marmi","active","One Star","3","ve_7d934851f2","Lux Lucis","forte-dei-marmi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"94","ve_d928aeb878","Ristorante Sciabola","forte-dei-marmi","active","One Star","0","ve_bc6f9d6c42","Sciabola","forte-dei-marmi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"95","ve_8333e63945","Bluh Furore fine dining","furore","active","One Star","0","ve_703229c7eb","Bluh Furore","furore","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"96","ve_cb3979c1de","Ristorante Lanzagallo","gaibana","active","Bib Gourmand","0","ve_8bdcf2ed56","Trattoria Lanzagallo","gaibana","Bib Gourmand","yes","merge","high","Lanzagallo; only candidate","merge"
"97","ve_befa64f027","Il Ristorante Il Pievano","gaiole-in-chianti","active","One Star","0","ve_96d8114cd4","Il Pievano","gaiole-in-chianti","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"98","ve_dc6e3a4a0c","Osteria La Campanara","galeata","active","Bib Gourmand","0","ve_6f0cb6f91b","La Campanara","galeata","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"99","ve_5d8d36d033","Ristorante Al Palazzon","galliera-veneta","active","Bib Gourmand","0","ve_113197c5fa","Al Palazzon","galliera-veneta","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"100","ve_af8c9c49f4","Ristorante La Tortuga","gargnano","active","One Star","0","ve_33975b3dd3","La Tortuga","gargnano","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"101","ve_fb0efa67af","RISTORANTE SAN GIORGIO","genoa","active","One Star","0","ve_00782073e4","San Giorgio","genoa","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"102","ve_f633c4e10b","Agli Amici 1887","godia","active","Two Stars","2","ve_0335fa26c1","Agli Amici","godia","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"103","ve_7ec48dcb22","Durna in Selva","gsies","active","Bib Gourmand","0","ve_70ecca2d0c","Durnwald","gsies","Bib Gourmand","yes","merge","medium","Durna in Selva is the Italian form of Durnwald; only candidate",""
"104","ve_9ecda6dc01","Ristorante Sarri","imperia","active","One Star","0","ve_45e8f51329","Sarri","imperia","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"105","ve_c9677a172d","Hotel & Südtiroler Gasthaus Restaurant Gassenwirt","kiens","active","Bib Gourmand","0","ve_dbbafd1921","Gassenwirt","kiens","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"106","ve_2fa1639779","Antonello Colonna Resort & Spa","labico","active","One Star","0","ve_16f690d515","Antonello Colonna Labico","labico","One Star","yes","merge","high","Antonello Colonna in Labico","merge"
"107","ve_d86234c258","Ristorante Indaco","lacco-ameno","active","One Star","0","ve_c94cfc8ce2","Indaco","lacco-ameno","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"108","ve_c643c6c3c8","Ristorante Vecchia Lama","lama-mocogno","active","Bib Gourmand","0","ve_f1d383b476","Vecchia Lama","lama-mocogno","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"109","ve_b968ed2d32","Trattoria Zamboni","lapio","active","Bib Gourmand","0","ve_e2ae736d52","Trattoria da Zamboni","lapio","Bib Gourmand","yes","merge","high","Trattoria (da) Zamboni","merge"
"110","ve_04c2784726","Lavello","lavello","active","Bib Gourmand","0","ve_754a838647","Forentum","lavello","Bib Gourmand","yes","merge","medium","old name is only the town name (wrong Google match); Forentum is the only Bib in Lavello",""
"111","ve_2bc7ce7396","Ristorante Boivin","levico-terme","active","Bib Gourmand","0","ve_681b1ea0c3","Boivin","levico-terme","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"112","ve_753159192f","Ristorante la Madia","licata","active","Two Stars","3","ve_2aabb4e3ca","La Madia","licata","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"113","ve_7562363fa4","SENSO Lake Garda","limone-sul-garda","active","One Star","1","ve_63377c835c","Senso Lake Garda Alfio Ghezzi","limone-sul-garda","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"114","ve_659d7239ba","Shalai Resort","linguaglossa","active","One Star","0","ve_80c795c589","Shalai","linguaglossa","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"115","ve_ffe997e479","Ristorante Dei Cantoni","longiano","active","Bib Gourmand","0","ve_e6ecc54a2c","Dei Cantoni","longiano","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"116","ve_58a7a449c1","Ristorante Andreina","loreto","active","One Star","4","ve_cf577c1bdf","Andreina","loreto","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"117","ve_c8b68b8b65","Cantinone","madesimo","active","One Star","0","ve_bbb0109bf0","Il Cantinone e Sport Hotel Alpina","madesimo","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"118","ve_8b7f1d01be","Ristorante Dolomieu","madonna-di-campiglio","closed","One Star","0","ve_2b7904fc89","Dolomieu","madonna-di-campiglio","One Star","yes","merge","high","same city and category; Michelin name is inside the old name. FLAG: old venue status is closed, but Michelin 2026 lists it",""
"119","ve_30947232fd","Ristorante Il Gallo Cedrone","madonna-di-campiglio","closed","One Star","0","ve_70168c0bea","Il Gallo Cedrone","madonna-di-campiglio","One Star","yes","merge","high","same city and category; Michelin name is inside the old name. FLAG: old venue status is closed, but Michelin 2026 lists it",""
"120","ve_eaac991379","Ristorante Vecchia Malcesine","malcesine","active","One Star","0","ve_872c8e5ff8","Vecchia Malcesine","malcesine","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"121","ve_248a61276b","Ristorante La Favellina","malo","active","One Star","0","ve_cb4482d122","La Favellina","malo","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"122","ve_55968152c6","Casamatta Restaurant","manduria","active","One Star","0","ve_69b71769a0","Casamatta","manduria","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"123","ve_c8f1ad893d","Ristorante Capriccio","manerba-del-garda","active","One Star","0","ve_5c28a3fd74","Capriccio","manerba-del-garda","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"124","ve_90d86673af","Ristorante La Preséf","mantello","active","One Star","0","ve_58f3d63f9d","La Preséf","mantello","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"125","ve_e8539d768b","Ristorante Cavallino","maranello","active","One Star","1","ve_66c95394b5","Cavallino","maranello","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"126","ve_31444e17e1","Trattoria Al Piave","mariano-del-friuli","active","Bib Gourmand","0","ve_499618d3a1","Al Piave","mariano-del-friuli","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"127","ve_f39b6996b8","Ristorante Gambero","marina-di-gioiosa-ionica","active","One Star","6","ve_e684b8e293","Gambero Rosso","marina-di-gioiosa-ionica","One Star","yes","merge","high","Gambero (Rosso); only candidate","merge"
"128","ve_26c86a305a","Ristorante VotaVota","marina-di-ragusa","active","One Star","0","ve_b1d0a7e318","Votavota","marina-di-ragusa","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"129","ve_c0311032c2","Ristorante Butterfly","marlia","active","One Star","0","ve_72a0ac631b","Butterfly","marlia","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"130","ve_f452b99b6e","Trattoria BROS'","martina-franca","active","Bib Gourmand","2","ve_671458d82c","Bros' Trattoria","martina-franca","Bib Gourmand","yes","merge","high","Bros' Trattoria","merge"
"131","ve_56e6115581","Vitantonio Lombardo Ristorante","matera","active","One Star","0","ve_83c44f7e72","Vitantonio Lombardo","matera","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"132","ve_ab0417cf78","Gourmet Restaurant Prezioso","merano","active","One Star","1","ve_85c76921f6","Prezioso","merano","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
